title,url,company,location,easy_apply,age,query,search_location,viewed,applied,date_applied,skip,recruiter,,,,,,
Software Development Engineer,/cmp/Amazon.com/jobs/Software-Development-Engineer-1084cc1fbf5ab55b?r=1&fccid=fe2d21eef233e94a,Amazon,"New York, NY 10018 (Clinton area)",TRUE,4,,,TRUE,TRUE,12/7/2016 16:21:00,,,,,,,,
Junior eCommerce Web Developer,/rc/clk?jk=ef7744d32c05d743&fccid=9e0a807d1e0a1d8b,Gauge Interactive,"Savannah, GA",TRUE,5,,,TRUE,TRUE,12/7/2016 16:22:00,,,,,,,,
Lead Java Engineer,/rc/clk?jk=598bda9952a9921d&fccid=9e399301940ed66e,omega solutions inc,"San Francisco, CA",TRUE,5,,,TRUE,TRUE,12/7/2016 16:22:00,,,,,,,,
Test Automation Developer,/rc/clk?jk=85ae277dbf9b42e5&fccid=2dd14c87d68d63d8,TEKSystems,"Columbus, OH",TRUE,6,,,TRUE,TRUE,12/7/2016 16:22:00,,,,,,,,
Mid Level Polyglot Engineer,/cmp/Workbridge-Associates/jobs/Mid-Level-Polyglot-Engineer-9b2fef0fe84ec703?r=1&fccid=a6920e0a635e5c4e,Workbridge Associates,"Chicago, IL",TRUE,6,,,TRUE,TRUE,12/7/2016 16:22:00,,,,,,,,
Lead Software QA Automation Engineer,/rc/clk?jk=2839312190600425&fccid=c48e44b9e0f28b36,Cypress HCM,"San Diego, CA",TRUE,6,,,TRUE,TRUE,12/7/2016 16:22:00,,,,,,,,
JavaScript Developer,/cmp/RiverRock-Network/jobs/Javascript-Developer-3693e8c0c6c098f0?r=1&fccid=49bb8a9ff6b52577,RiverRock Network,"Palo Alto, CA",TRUE,6,,,TRUE,TRUE,12/7/2016 16:22:00,,,,,,,,
CMS Administrator / Jr. Developer,/rc/clk?jk=17ec818b06147cea&fccid=b518772a26735038,University of New England,"Portland, ME",TRUE,6,,,TRUE,TRUE,12/7/2016 16:23:00,,,,,,,,
"7829 Java Developer with Core Java, Spring MVC, Hibernate",/rc/clk?jk=88096b5775880e8e&fccid=3e9b3c11f955bc12,"ReqRoute,Inc","Foster City, CA",TRUE,6,,,TRUE,TRUE,12/7/2016 16:23:00,,,,,,,,
software engineer - Nodejs,/rc/clk?jk=7cc898626b5deca8&fccid=9e399301940ed66e,Omega solutions inc,"San Francisco, CA",TRUE,7,,,TRUE,TRUE,12/7/2016 16:23:00,,,,,,,,
Jr. Java Developer,/cmp/Bridgeview/jobs/Junior-Java-Developer-fa381ec3c3a19319?r=1&fccid=217e771561421cd2,BridgeView IT,"Longmont, CO",TRUE,8,,,TRUE,TRUE,12/7/2016 16:23:00,,,,,,,,
Looking for Ruby on Rails Developer @ Chicago IL,"/cmp/KK-Associates,-LLC/jobs/Ruby-Rail-Developer-59120e7939a319f4?r=1&fccid=ec6e42ca5dfbed51","KK Associates, LLC","Chicago, IL",TRUE,8,,,TRUE,TRUE,12/7/2016 16:23:00,,,,,,,,
Onboarding Specialist,/rc/clk?jk=4d9a43d4ccedec6f&fccid=f70749269540ea47,Andela,"New York, NY",TRUE,11,ruby on rails,new york city,TRUE,TRUE,12/7/2016 16:31:00,,,,,,,,
Front End Developer,/cmp/LeverageIT/jobs/Front-End-Developer-4026577f3d0bee4e?r=1&fccid=148fdbf1557d69bf,LeverageIT,"Detroit, MI",TRUE,11,,,TRUE,TRUE,12/7/2016 16:31:00,,,,,,,,
Front End Developer,/cmp/IT-Resources-Corp/jobs/Front-End-Developer-43c028c4cd61a76d?r=1&fccid=68ee74376536e7d8,IT Resources Corp,"Tampa Bay, FL",TRUE,11,,,TRUE,TRUE,12/7/2016 16:31:00,,,,,,,,
Junior Web Developer,/pagead/clk?mo=r&ad=-6NYlbfkN0BwygNt3VSxYqCfhMvxP7cG4HW6ywyi2pz2yu20fWdFoAJoum-lcmtJlJuN4QvjIuKbbOVJFPyuZY7JB7hCpCYO2pahVwMz97EBZiTUw5bHRE1GJ-xf3rZw9K_UZhPN-wMkL3dfutZbRi4hn53xrttVxza4isN2U0I6I4Gq9yzUmLPDY9BiWoB_XGMkasaIlEflaXZ9e64m_DOoShe3vM2axwOLK6t7k4qofOvyp44oYB7Pv0LdSjC90tqeP7fsf_euW760fkV6K569nfD6kCqwdiH9fdqj3F-DNqEGW4yVviFGp6RbHcyEIuviJ-OTqNYMW8ltdaM0s9-ZDrFZH3yMhss9pYFwRONz-oxiehTRrMZ-RpTJo9EfFQj81v-dSrxx5DKr8pbhqqH7j6MBNZif7LTJIOZto5n0vNIsE2URgbBZDUv0i_6e&p=2&sk=&fvj=1,"PRIME Education, Inc.","Fort Lauderdale, FL",TRUE,12,,,TRUE,TRUE,12/7/2016 16:31:00,,,,,,,,
Junior Web Developer,/cmp/PRIME-Education-Inc./jobs/Junior-Web-Developer-b89fa716aa278532?r=1&fccid=541f59395afe64c4,"PRIME Education, Inc.","Fort Lauderdale, FL",TRUE,12,,,TRUE,TRUE,12/7/2016 16:31:00,,,,,,,,
API Software Engineer,/rc/clk?jk=e431d2e844827d72&fccid=f287b6189e174df5,thredUP,"San Francisco, CA 94104 (Financial District area)",TRUE,13,,,TRUE,TRUE,12/7/2016 16:39:00,,,,,,,,
Jr./Mid Level Front End Developer,/cmp/DISYS/jobs/Junior-Mid-Level-Front-End-Developer-7f9bb2aa180522cd?r=1&fccid=2ac1f406582acd9b,DISYS,"Raleigh, NC 27612 (Northwest area)",TRUE,13,,,TRUE,TRUE,12/7/2016 16:39:00,,,,,,,,
DevOps Engineer (OPT/CPT welcome),/cmp/Hashtag-Systems/jobs/Devop-Engineer-eebce024a863fe94?r=1&fccid=8b375a1b4910260c,Hashtag Systems LLC,"Manhattan, NY",TRUE,14,,,TRUE,TRUE,12/7/2016 16:39:00,,,,,,,,
Lead Ruby on Rails Engineer,/rc/clk?jk=cfd740487458a99c&fccid=1b0692814cc13474,The RealReal,"New York, NY",TRUE,14,ruby on rails,new york city,TRUE,TRUE,12/7/2016 16:39:00,,,,,,,,
Software Engineer,/rc/clk?jk=8cfcee539d20750e&fccid=9158945a2464d2dc,Kitchensurfing,"New York, NY",TRUE,14,ruby on rails,new york city,TRUE,TRUE,12/7/2016 16:46:00,,,,,,,,
"Junior or Associate Software Engineer - Ruby, Rails, RoR, web - stable and profitable software co!",/rc/clk?jk=ee060bf4187f7d81&fccid=e4fba35e1090d474,The Bivium Group,"Cambridge, MA",TRUE,14,,,TRUE,TRUE,12/7/2016 16:50:00,,,,,,,,
"Jr. DevOps Engineer - OPT, H4 EAD","/cmp/netLogic-Solutions,Inc/jobs/Junior-Devop-Engineer-17d390d367dc9093?r=1&fccid=c5f94d787c7c7cb9","netLogic Solutions,Inc","Texas City, TX",TRUE,15,,,TRUE,TRUE,12/7/2016 16:51:00,,,,,,,,
Web Developer,/cmp/Full-Sail-University/jobs/Web-Developer-da1a5d23c1f381c9?r=1&fccid=a0e7284261ad5ae8,Full Sail University,"Winter Park, FL 32792",TRUE,15,,,TRUE,TRUE,12/7/2016 16:51:00,,,,,,,,
Junior Software Engineer (Linux/Perl/SQL/Javascript Developer),/rc/clk?jk=ccfaad9473c70b67&fccid=709f76e97d896797,Emkayel Consulting LLC,"Arlington, VA",TRUE,17,,,TRUE,TRUE,12/7/2016 16:54:00,,,,,,,,
Software Developer,/cmp/FirstPRO/jobs/Software-Developer-6c857826e4267a56?r=1&fccid=ccefa10fefe3675d,FirstPRO,"Berwyn, PA",TRUE,17,,,TRUE,TRUE,12/7/2016 16:55:00,,,,,,,,
Software Developer,/rc/clk?jk=3cbd061e23918f23&fccid=83a9ff68e3c5f23f,Dwolla,"Des Moines, IA 50309 (Downtown area)",TRUE,17,,,TRUE,TRUE,12/7/2016 16:56:00,,,,,,,,
Frontend Engineer,/cmp/StudyBlue/jobs/Frontend-Engineer-3791a4d099507935?r=1&fccid=9671e970b6086808,StudyBlue,"San Francisco, CA 94103 (South Of Market area)",TRUE,19,,,TRUE,TRUE,12/7/2016 16:56:00,,,,,,,,
Back End Software Engineer,/rc/clk?jk=d64cd9b93119c6a1&fccid=7b4086df825ac6fc,Deliv,"Menlo Park, CA",TRUE,19,,,TRUE,TRUE,12/7/2016 17:06:00,,,,,,,,
Junior Web Developer,/cmp/designthis!/jobs/Junior-Web-Developer-46d26cfbeecfaa36?r=1&fccid=d817c9b52b73f435,designthis!,"Napa, CA 94559",TRUE,20,,,TRUE,TRUE,12/7/2016 17:07:00,,,,,,,,
"Jr. C++, C#, Ruby Programmer",/rc/clk?jk=ab1abe6ff2c8261e&fccid=da34ad23cdce5dcf,Talent Merchants,"San Diego, CA",TRUE,20,,,TRUE,TRUE,12/7/2016 17:08:00,,,,,,,,
Software Engineer - Python Developer,/rc/clk?jk=0342af4098de4d25&fccid=dd764791c773b58d,ProMedia Careers,"San Diego, CA",TRUE,21,,,TRUE,TRUE,12/7/2016 17:08:00,,,,,,,,
Backend Engineer,/cmp/William-W.-Professional-Staffing/jobs/Backend-Engineer-6137188f989cbfd8?r=1&fccid=54b595fde0ae86a5,William W. Professional Staffing,"Raleigh, NC",TRUE,22,,,TRUE,TRUE,12/7/2016 17:09:00,,,,,,,,
"Software Engineer - FinTech, rapid development",/rc/clk?jk=df7cbd0dad8aec83&fccid=e4fba35e1090d474,The Bivium Group,"Boston, MA",TRUE,22,,,TRUE,TRUE,12/7/2016 17:09:00,,,,,,,,
Front-End Developer,/rc/clk?jk=55e7658c23cff0b2&fccid=0bfdf8e32cfd664e,"Riccione Resources, Inc","Addison, TX",TRUE,22,,,TRUE,TRUE,12/7/2016 17:09:00,,,,,,,,
Front-end Engineer,/rc/clk?jk=6fa2f9e29dcf919a&fccid=25918e1f841ec2aa,Justworks,"New York, NY",TRUE,23,ruby on rails,new york city,TRUE,TRUE,12/7/2016 17:11:00,,,,,,,,
Jr. QA Analyst,"/cmp/eHire,-LLC/jobs/Junior-QA-Analyst-24f2bc67c88caf87?r=1&fccid=2d05fe1a595cb99f","eHire, LLC","Athens, GA",TRUE,23,,,TRUE,TRUE,12/7/2016 17:16:00,,,,,,,,
Jr. Web Developer,/cmp/Arrowhead-Advertising/jobs/Junior-Web-Developer-ce4b6a04e28c841e?r=1&fccid=1b7fde99106532a5,Arrowhead Advertising,"Peoria, AZ 85382",TRUE,23,,,TRUE,TRUE,12/7/2016 17:17:00,,,,,,,,
