id,title,url,company,location,easy_apply,age,query,search_location,viewed,applied,date_applied,merged_doc_id__jobs_to_cover_letters,merged_doc_url__jobs_to_cover_letters,link_to_merged_doc__jobs_to_cover_letters,document_merge_status__jobs_to_cover_letters,skip,recruiter
p_022bfe94a8a9c76c,Backend Ruby Developer,/rc/clk?jk=022bfe94a8a9c76c&fccid=ccd796b1d2d3e16b,Smith & Keller,"Manhattan, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
pj_d86f5670e565b9c6,Ruby on Rails Developer,/pagead/clk?mo=r&ad=-6NYlbfkN0DpVEdlrwuDFvIuWjBAOONQveDvrB0NyxCXtTnWl2YzqxNcfufXvWXdMgpF_aueooQUuiBdU1lLxbog-ek0bh8aVU0cWMyJX6UHoo2zk8DnHubX41t4D2MPGQqH3kHGL508qJBvkikzVPTq8EfvIeb1DyDUdmVnZ8cSvXx3WjoXkNZqSeciCUnHsApULXwtCpVjVKqqLwEb5VmM0RBJkZCRdN7t0hvjQm068FAMr_tbyXYZNpSpTJzZFkbz-dMTm6qMamr8CQ_--mc1Jx76qhd1wfIaZ4UC-5-cqXio6gFipl014wemUUP4emiHSv75usjbulT3_TpOTU5eDp7htuEGtEgg6Lj8WUhfvhp7lPU8TBUu85WH6QlU9XRCkXg8inREGAwH4Ea0N6s6-2Fmp-zFMAgKWuw5kW9CGs-n7FVKy292a9RbJUTaEH19H1MFxsAoV2TajUUZJuoe49X0ANRMKg9euOEtet0=&p=2&sk=&fvj=0,Maganti IT Resources LLC,"New York, NY",FALSE,3 hours ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
p_3b7488bed66d33d3,Senior Web Developer,/rc/clk?jk=3b7488bed66d33d3&fccid=e18af0c0e66c63ed,VTS3 Corp.,"New York, NY",FALSE,19 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,TRUE,
p_b63339d78e1d04af,VP of Engineering: Great front-end and back-end developer,/rc/clk?jk=b63339d78e1d04af&fccid=068406d6c4205250,Function of Beauty,"New York, NY",FALSE,27 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 11:55,,,,,,
p_29ada6dffd2cbc97,Identity & Access Management Engineer,/rc/clk?jk=29ada6dffd2cbc97&fccid=7b846a98e5da569b,Weill Cornell Medical College,"New York, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_4e850cc519b03836,Software Engineer - Senior,/rc/clk?jk=4e850cc519b03836&fccid=1af8c07806318c7b,Bonobos,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_4ed5d5a32647826e,Ruby Developer/ROR Developer/ Ruby on Rails Developer,/rc/clk?jk=4ed5d5a32647826e&fccid=13fcde564310b43c,Apetan Consulting,"Jersey City, NJ 07306 (Journal Square area)",FALSE,6 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
p_ec58a08203adf224,Senior Developer,/rc/clk?jk=ec58a08203adf224&fccid=f4316a3c4f4e2e4c,Carrot Creative,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_ce475c9bd614c67c,Senior Software Engineer,/rc/clk?jk=ce475c9bd614c67c&fccid=2ecab1280efd2126,Fundera,"New York, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_b653ea7d241fd7ac,Systems Engineer,/rc/clk?jk=b653ea7d241fd7ac&fccid=c0284a26116bc063,Next Step Systems,"New York, NY",FALSE,16 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 12:02,,,,,,
p_3bde3f8d6bd6c2bb,Lead Ruby on Rails Developer - New York,/cmp/Roc-Search/jobs/Lead-Ruby-Rail-Developer-3bde3f8d6bd6c2bb?r=1&fccid=f902eefc77140a41,Roc Search,"New York, NY",TRUE,17 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
